76.91.227.63 - - [13/Aug/2013:11:23:02 -0700] "GET /new-site/dynamic/js/builder.class.js HTTP/1.1" 200 1018 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
76.91.227.63 - - [13/Aug/2013:11:23:02 -0700] "GET /new-site/_images/sidepic2.png HTTP/1.1" 200 362276 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
76.91.227.63 - - [13/Aug/2013:11:23:04 -0700] "GET /new-site/index.html HTTP/1.1" 200 2711 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
76.91.227.63 - - [13/Aug/2013:11:23:06 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
38.100.21.63 - - [13/Aug/2013:12:00:36 -0700] "GET /new-site HTTP/1.1" 301 104 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.donhughescountry.com"
123.125.67.181 - - [13/Aug/2013:12:06:27 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 1029904 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
76.30.96.181 - - [13/Aug/2013:12:26:09 -0700] "GET /index2.php HTTP/1.1" 200 35543 "http://www.bing.com/search?q=country+singer+died+hughes&qs=n&form=QBRE&pq=country+singer+died+hughes&sc=8-20&sp=-1&sk=" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)" "www.donhughescountry.com"
76.30.96.181 - - [13/Aug/2013:12:26:09 -0700] "GET /moutinsky.jpg HTTP/1.1" 200 10201 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)" "www.donhughescountry.com"
76.30.96.181 - - [13/Aug/2013:12:26:10 -0700] "GET /mm/stationery/ThumbnailGrid/dh_2077sm.gif HTTP/1.1" 200 10731 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)" "www.donhughescountry.com"
76.30.96.181 - - [13/Aug/2013:12:26:10 -0700] "GET /dh.gif HTTP/1.1" 200 1466 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)" "www.donhughescountry.com"
38.108.195.122 - - [13/Aug/2013:13:45:52 -0700] "GET / HTTP/1.1" 200 3009 "http://www.google.com/url?sa=f&rct=j&url=http://www.donhughescountry.com/&q=Don+Hughes&ei=_JoKUrzqJuPayAHx34GwBw&usg=AFQjCNGTxiwtyDQMT2kMt_yfAB5rjOx5JQ" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
38.108.195.122 - - [13/Aug/2013:13:45:52 -0700] "GET /new-site HTTP/1.1" 301 104 "http://www.donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
38.108.195.122 - - [13/Aug/2013:13:45:53 -0700] "GET /new-site/dynamic HTTP/1.1" 301 112 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
38.108.195.122 - - [13/Aug/2013:13:45:53 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
218.30.103.144 - - [13/Aug/2013:13:48:39 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Sogou web spider/4.0" "donhughescountry.com"
180.76.5.90 - - [13/Aug/2013:14:02:50 -0700] "GET /new-site HTTP/1.1" 301 104 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.5.97 - - [13/Aug/2013:14:02:52 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 2271 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
173.199.116.83 - - [13/Aug/2013:14:36:42 -0700] "GET /photoview4.html HTTP/1.1" 200 1744 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
193.43.252.252 - - [13/Aug/2013:15:55:46 -0700] "GET / HTTP/1.0" 200 4461 "http://getfilesme.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; Avant Browser [avantbrowser.com]; Hotbar 4.4.5.0)" "donhughescountry.com"
