218.30.103.144 - - [01/Aug/2013:04:33:49 -0700] "GET / HTTP/1.1" 200 2892 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "donhughescountry.com"
157.56.93.38 - - [01/Aug/2013:04:45:16 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
218.30.103.144 - - [01/Aug/2013:04:53:15 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Sogou web spider/4.0" "donhughescountry.com"
183.60.214.119 - - [01/Aug/2013:06:42:04 -0700] "GET / HTTP/1.1" 200 2891 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)" "donhughescountry.com"
100.43.83.135 - - [01/Aug/2013:08:12:07 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [01/Aug/2013:08:12:11 -0700] "GET / HTTP/1.1" 200 2893 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [01/Aug/2013:08:12:16 -0700] "GET /donhughes.swf HTTP/1.1" 200 123769 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
173.199.115.179 - - [01/Aug/2013:08:23:55 -0700] "GET / HTTP/1.1" 200 2892 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "donhughescountry.com"
78.158.11.226 - - [01/Aug/2013:08:47:43 -0700] "GET / HTTP/1.1" 200 4461 "http://evuln.com/tools/malware-scanner/www.donhughescountry.com/" "Lynx/2.8.5rel.1 libwww-FM/2.15FC SSL-MM/1.4.1c OpenSSL/0.9.7e-dev" "www.donhughescountry.com"
78.158.11.226 - - [01/Aug/2013:08:47:44 -0700] "GET / HTTP/1.1" 200 4461 "http://www.google.com/url?sa=t&rct=j&q=www.donhughescountry.com&source=web&cd=5&ved=0CF0QFjAE&url=http:%2F%2Fwww.donhughescountry.com%2F&cad=rja" "Lynx/2.8.5rel.1 libwww-FM/2.15FC SSL-MM/1.4.1c OpenSSL/0.9.7e-dev" "www.donhughescountry.com"
123.125.67.214 - - [01/Aug/2013:10:17:41 -0700] "GET /robots.txt HTTP/1.1" 200 699 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.donhughescountry.com"
123.125.67.243 - - [01/Aug/2013:10:26:11 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 985538 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:46 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:46 -0700] "GET /new-site/dynamic HTTP/1.1" 301 112 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:46 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 2271 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:46 -0700] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:46 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:46 -0700] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 4459 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:46 -0700] "GET /new-site/dynamic/js/builder.class.js HTTP/1.1" 200 1018 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:47 -0700] "GET /new-site/dynamic/js/libs/jquery/plugins/jquery.listen-min.js HTTP/1.1" 200 2668 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
99.12.170.225 - - [01/Aug/2013:11:14:47 -0700] "GET /new-site/_images/sidepic2.png HTTP/1.1" 200 362276 "http://www.donhughescountry.com/new-site/_css/styles.css" "Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0" "www.donhughescountry.com"
