74.110.185.100 - - [10/Aug/2013:07:51:16 -0700] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
74.110.185.100 - - [10/Aug/2013:07:51:16 -0700] "GET /new-site/index.html HTTP/1.1" 200 2713 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
74.110.185.100 - - [10/Aug/2013:07:51:16 -0700] "GET /new-site/_images/sidepic2.png HTTP/1.1" 200 362276 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
74.110.185.100 - - [10/Aug/2013:07:51:17 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
74.110.185.100 - - [10/Aug/2013:07:51:17 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
65.55.215.89 - - [10/Aug/2013:11:04:20 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
65.55.215.89 - - [10/Aug/2013:11:04:21 -0700] "GET /donsmenu.gif HTTP/1.1" 200 7437 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
123.125.67.180 - - [10/Aug/2013:11:04:23 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 1123098 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
173.236.21.106 - - [10/Aug/2013:11:31:15 -0700] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.236.21.106 - - [10/Aug/2013:11:31:17 -0700] "GET / HTTP/1.0" 200 2871 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
183.60.214.20 - - [10/Aug/2013:12:04:46 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)" "donhughescountry.com"
220.181.51.155 - - [10/Aug/2013:12:21:04 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 1044906 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
157.55.33.15 - - [10/Aug/2013:13:39:58 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
100.43.83.135 - - [10/Aug/2013:14:28:18 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [10/Aug/2013:14:28:29 -0700] "GET / HTTP/1.1" 200 2893 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [10/Aug/2013:14:28:40 -0700] "GET /donhughes.swf HTTP/1.1" 200 123769 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [10/Aug/2013:14:29:03 -0700] "GET / HTTP/1.1" 200 2893 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
180.76.5.50 - - [10/Aug/2013:16:26:53 -0700] "GET /robots.txt HTTP/1.1" 200 699 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.donhughescountry.com"
