74.125.19.48 - - [11/Jun/2013:04:08:05 -0700] "GET / HTTP/1.1" 200 3009 "-" "Mozilla/5.0 (en-US) AppleWebKit/[WEBKIT_VERSION] (KHTML, like Gecko) Chrome/[CHROME_VERSION] Safari/[WEBKIT_VERSION] pss-webkit-request" "donhughescountry.com"
66.249.84.49 - - [11/Jun/2013:04:08:06 -0700] "GET /new-site/ HTTP/1.1" 200 2663 "http://donhughescountry.com/?ModPagespeedFilters=compute_critical_css,decode_rewritten_urls,disable_javascript,flatten_css_imports,inline_css,inline_import_to_link,rewrite_css&ModPagespeedCssFlattenMaxBytes=0&ModPagespeedCssImageInlineMaxBytes=0&ModPagespeedCssInlineMaxBytes=10485760" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.153 - - [11/Jun/2013:04:08:06 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.153 - - [11/Jun/2013:04:08:07 -0700] "GET /new-site/dynamic HTTP/1.1" 301 108 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.49 - - [11/Jun/2013:04:08:07 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 2387 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.153 - - [11/Jun/2013:04:08:07 -0700] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 1746 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.153 - - [11/Jun/2013:04:08:07 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.49 - - [11/Jun/2013:04:08:07 -0700] "GET /new-site/dynamic/js/libs/jquery/plugins/jquery.listen-min.js HTTP/1.1" 200 1742 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.54 - - [11/Jun/2013:04:08:07 -0700] "GET /new-site/dynamic/js/builder.class.js HTTP/1.1" 200 1018 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.148 - - [11/Jun/2013:04:08:07 -0700] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.54 - - [11/Jun/2013:04:08:08 -0700] "GET /new-site/index.html HTTP/1.1" 200 2660 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.54 - - [11/Jun/2013:04:08:09 -0700] "GET /new-site/_images/sidepic2.png HTTP/1.1" 200 362276 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:09 -0700] "GET /donhughes.swf HTTP/1.1" 200 123769 "http://donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:10 -0700] "GET /new-site HTTP/1.1" 301 100 "http://donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
66.249.84.148 - - [11/Jun/2013:04:08:14 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://donhughescountry.com/new-site/dynamic/?ModPagespeedFilters=compute_critical_css,decode_rewritten_urls,disable_javascript,flatten_css_imports,inline_css,inline_import_to_link,rewrite_css&ModPagespeedCssFlattenMaxBytes=0&ModPagespeedCssImageInlineMaxBytes=0&ModPagespeedCssInlineMaxBytes=10485760" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:08:15 -0700] "GET /new-site HTTP/1.1" 301 100 "http://donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:08:16 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:08:17 -0700] "GET /new-site/dynamic/js/builder.class.js HTTP/1.1" 304 - "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:08:17 -0700] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 1746 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:08:17 -0700] "GET /new-site/dynamic/js/libs/jquery/plugins/jquery.listen-min.js HTTP/1.1" 200 1742 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:08:17 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:08:18 -0700] "GET /new-site/index.html HTTP/1.1" 200 2545 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:21 -0700] "GET / HTTP/1.1" 200 3010 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:22 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.186.48 - - [11/Jun/2013:04:08:22 -0700] "GET /new-site HTTP/1.1" 301 100 "http://donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:24 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:27 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:31 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:32 -0700] "GET /new-site/ HTTP/1.1" 200 2546 "http://donhughescountry.com/new-site" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:32 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:50 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:50 -0700] "GET /new-site/ HTTP/1.1" 200 2545 "http://donhughescountry.com/new-site" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:51 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:53 -0700] "GET /new-site/index.html HTTP/1.1" 200 2546 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:00 -0700] "GET / HTTP/1.1" 200 3010 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:00 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:01 -0700] "GET /new-site/ HTTP/1.1" 200 2545 "http://donhughescountry.com/new-site" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:02 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 2271 "http://donhughescountry.com/new-site/dynamic" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:04 -0700] "GET /new-site/index.html HTTP/1.1" 200 2546 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.186.48 - - [11/Jun/2013:04:09:05 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:12 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:13 -0700] "GET /new-site/index.html HTTP/1.1" 200 2546 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:14 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:19 -0700] "GET / HTTP/1.1" 200 3009 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:21 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:21 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "http://donhughescountry.com/new-site/dynamic" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:21 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:21 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:09:22 -0700] "GET /new-site/index.html HTTP/1.1" 200 2546 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:09:27 -0700] "GET /new-site HTTP/1.1" 301 100 "http://donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:09:28 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:09:29 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:36 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:38 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
