98.137.207.177 - - [25/Jul/2013:10:29:54 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp) NOT Firefox/3.5" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:28:07 -0700] "GET /new-site/gallery.html HTTP/1.1" 200 2079 "http://www.google.com/url?sa=t&rct=j&q=don%20hughes%20country&source=web&cd=4&ved=0CEEQjBAwAw&url=http%3A%2F%2Fwww.donhughescountry.com%2Fnew-site%2Fgallery.html&ei=QXzxUcDhF4eniALRxoGIBw&usg=AFQjCNFI6sgCPrGhHXGvRHnHgRwW0S66yw" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:28:08 -0700] "GET /dh_2024.jpg HTTP/1.1" 200 30598 "http://www.donhughescountry.com/new-site/gallery.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:28:08 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 304 - "http://www.donhughescountry.com/new-site/gallery.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:28:08 -0700] "GET /mm/stationery/SlideShow/whitesmile.jpg HTTP/1.1" 200 130766 "http://www.donhughescountry.com/new-site/gallery.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:28:08 -0700] "GET /mm/stationery/SlideShow/DonHughesstyle.jpg HTTP/1.1" 200 132944 "http://www.donhughescountry.com/new-site/gallery.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:28:08 -0700] "GET /dh_5073.jpg HTTP/1.1" 200 28263 "http://www.donhughescountry.com/new-site/gallery.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:28:22 -0700] "GET /new-site/acting.html HTTP/1.1" 200 3577 "http://www.donhughescountry.com/new-site/gallery.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:10 -0700] "GET /new-site/video/dhfilm.mp4 HTTP/1.1" 200 3480582 "http://www.donhughescountry.com/new-site/acting.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /index2.php HTTP/1.1" 200 7568 "http://www.google.com/url?sa=t&rct=j&q=don%20hughes%20country&source=web&cd=2&ved=0CDMQjBAwAQ&url=http%3A%2F%2Fwww.donhughescountry.com%2Findex2.php&ei=QXzxUcDhF4eniALRxoGIBw&usg=AFQjCNHEuDZbqC0TRpHO0goeXqvFAWYTYA" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
