76.20.12.113 - - [16/Aug/2013:07:39:43 -0700] "GET /dh_2sm.gif HTTP/1.1" 200 10695 "http://donhughescountry.com/index2.php?page=contactus" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "donhughescountry.com"
157.56.93.74 - - [16/Aug/2013:09:05:13 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
46.165.197.151 - - [16/Aug/2013:09:54:35 -0700] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
220.181.51.156 - - [16/Aug/2013:11:57:03 -0700] "GET /news1.swf HTTP/1.0" 200 250907 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:25 -0700] "GET /index2.php HTTP/1.1" 200 7684 "https://www.google.com/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:25 -0700] "GET /niceforms.css HTTP/1.1" 200 1585 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:25 -0700] "GET /ajax_page.js HTTP/1.1" 200 1879 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:25 -0700] "GET /niceforms.js HTTP/1.1" 200 2583 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:25 -0700] "GET /donsmenu.gif HTTP/1.1" 200 7437 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:26 -0700] "GET /moutinsky.jpg HTTP/1.1" 200 10201 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:26 -0700] "GET /Biography.gif HTTP/1.1" 200 2137 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:26 -0700] "GET /news1.swf HTTP/1.1" 200 250907 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:26 -0700] "GET /albumcase.gif HTTP/1.1" 404 89 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:26 -0700] "GET /buy.jpg HTTP/1.1" 404 89 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /dh_2sm.gif HTTP/1.1" 200 10695 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /dh_1sm.gif HTTP/1.1" 200 10552 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /dh_3sm.gif HTTP/1.1" 200 10045 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /mm/stationery/ThumbnailGrid/dh_2077sm.gif HTTP/1.1" 200 10731 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /actingmenu.gif HTTP/1.1" 200 1176 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /newjana.jpg HTTP/1.1" 200 31777 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /pic1.gif HTTP/1.1" 200 40134 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
