98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /donsmenu.gif HTTP/1.1" 200 7437 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /main1.jpg HTTP/1.1" 200 28002 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /Biography.gif HTTP/1.1" 200 2137 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /buy.jpg HTTP/1.1" 404 89 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /Discography.gif HTTP/1.1" 200 2306 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /newposter.jpg HTTP/1.1" 200 3525 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /mm/stationery/ThumbnailGrid/DHsm1.gif HTTP/1.1" 200 9051 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /albumcase.gif HTTP/1.1" 404 89 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /moutinsky.jpg HTTP/1.1" 200 10201 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
98.238.210.53 - - [16/Jun/2013:21:24:25 -0700] "GET /dh_3sm.gif HTTP/1.1" 200 10045 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A551 Safari/8536.25" "www.donhughescountry.com"
