188.92.76.167 - - [08/Nov/2013:00:35:22 -0800] "HEAD / HTTP/1.1" 200 0 "http://r-e-f-e-r-e-r.com/?sort=date&encode=utf-8&follow=http%3A%2F%2Fdonhughescountry.com" "Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.14" "donhughescountry.com"
188.92.76.167 - - [08/Nov/2013:00:35:22 -0800] "HEAD / HTTP/1.1" 200 0 "http://r-e-f-e-r-e-r.com/?sort=date&encode=utf-8&follow=http%3A%2F%2Fdonhughescountry.com" "Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0.1) Gecko/20121011 Firefox/16.0.1" "donhughescountry.com"
178.63.93.87 - - [08/Nov/2013:01:25:48 -0800] "GET /wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)" "donhughescountry.com"
193.43.252.252 - - [08/Nov/2013:01:44:24 -0800] "GET / HTTP/1.0" 200 4461 "http://powerdl.in/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 95)" "donhughescountry.com"
193.43.252.252 - - [08/Nov/2013:01:44:24 -0800] "GET / HTTP/1.0" 200 4461 "http://powerdl.in/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; WOW64; SV1; .NET CLR 2.0.50727)" "donhughescountry.com"
193.43.252.252 - - [08/Nov/2013:01:44:24 -0800] "GET / HTTP/1.0" 200 4461 "http://powerdl.in/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)" "donhughescountry.com"
193.43.252.252 - - [08/Nov/2013:01:44:25 -0800] "GET / HTTP/1.0" 200 4461 "http://powerdl.in/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 95)" "donhughescountry.com"
193.43.252.252 - - [08/Nov/2013:01:44:25 -0800] "GET / HTTP/1.0" 200 4461 "http://powerdl.in/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)" "donhughescountry.com"
208.110.80.210 - - [08/Nov/2013:02:02:56 -0800] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "www.donhughescountry.com"
208.110.80.210 - - [08/Nov/2013:02:02:58 -0800] "GET / HTTP/1.0" 200 4461 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "www.donhughescountry.com"
